"B [mm]","L [mm]","R1 [mm]","R2 [mm]","Freq [GHz]","dB(S(1,1)) []"
16,15.5,5.6,6.5,5.62,-3.3974786002829
16,15.5,5.6,6.5,5.64,-3.81472015367825
16,15.5,5.6,6.5,5.66,-4.31230121400469
16,15.5,5.6,6.5,5.68,-4.9097550662939
16,15.5,5.6,6.5,5.7,-5.63249020059128
16,15.5,5.6,6.5,5.72,-6.51409008836719
16,15.5,5.6,6.5,5.74,-7.59992947559989
16,15.5,5.6,6.5,5.76,-8.95310848606284
16,15.5,5.6,6.5,5.78,-10.6641116266431
16,15.5,5.6,6.5,5.8,-12.8628397405625
16,15.5,5.6,6.5,5.82,-15.6972813693431
16,15.5,5.6,6.5,5.84,-18.9429280602784
16,15.5,5.6,6.5,5.86,-20.1479859632547
16,15.5,5.6,6.5,5.88,-17.6358140183694
16,15.5,5.6,6.5,5.9,-14.6478131105928
16,15.5,5.6,6.5,5.92,-12.2780879833864
16,15.5,5.6,6.5,5.94,-10.4556096202033
16,15.5,5.6,6.5,5.96,-9.02925037706719
16,15.5,5.6,6.5,5.98,-7.8895399283553
16,15.5,5.6,6.5,6,-6.96260819344368
16,15.5,5.6,6.5,6.02,-6.19776117860329
16,15.5,5.6,6.5,6.04,-5.55915325202807
16,15.5,5.6,6.5,6.06,-5.02069411519221
16,15.5,5.6,6.5,6.08,-4.562908847406
16,15.5,5.6,6.5,6.1,-4.17094618095709
16,15.5,5.6,6.5,6.12,-3.83327493130493
16,15.5,5.6,6.5,6.14,-3.54080509227689
16,15.5,5.6,6.5,6.16,-3.28627893845438
16,15.5,5.6,6.5,6.18,-3.0638387008156
16,15.5,5.6,6.5,6.2,-2.86871277218438
16,15.5,5.6,6.5,6.22,-2.69698343605071
16,15.5,5.6,6.5,6.24,-2.54541194454929
16,15.5,5.6,6.5,6.26,-2.41130478585986
16,15.5,5.6,6.5,6.28,-2.29241009855368
16,15.5,5.6,6.5,6.3,-2.18683652784658
16,15.5,5.6,6.5,6.32,-2.0929890409345
16,15.5,5.6,6.5,6.34,-2.00951772854621
16,15.5,5.6,6.5,6.36,-1.93527666619807
16,15.5,5.6,6.5,6.38,-1.86929064743224
16,15.5,5.6,6.5,6.4,-1.81072813218143
16,15.5,5.6,6.5,6.42,-1.75887914103929
16,15.5,5.6,6.5,6.44,-1.71313711341124
16,15.5,5.6,6.5,6.46,-1.67298396307725
16,15.5,5.6,6.5,6.48,-1.63797772835127
16,15.5,5.6,6.5,6.5,-1.60774233952875
16,15.5,5.6,6.8,5.5,-1.86965567500604
16,15.5,5.6,6.8,5.52,-2.02158771217356
16,15.5,5.6,6.8,5.54,-2.19647398689981
16,15.5,5.6,6.8,5.56,-2.39857034401445
16,15.5,5.6,6.8,5.58,-2.63310867951473
16,15.5,5.6,6.8,5.6,-2.90655684991562
16,15.5,5.6,6.8,5.62,-3.22695730426013
16,15.5,5.6,6.8,5.64,-3.60437184177196
16,15.5,5.6,6.8,5.66,-4.05147201959311
16,15.5,5.6,6.8,5.68,-4.58433470496956
16,15.5,5.6,6.8,5.7,-5.22353683560275
16,15.5,5.6,6.8,5.72,-5.99570456369103
16,15.5,5.6,6.8,5.74,-6.9357755058027
16,15.5,5.6,6.8,5.76,-8.09037176359344
16,15.5,5.6,6.8,5.78,-9.52264729022407
16,15.5,5.6,6.8,5.8,-11.3172847629119
16,15.5,5.6,6.8,5.82,-13.5715224635756
16,15.5,5.6,6.8,5.84,-16.2752819704481
16,15.5,5.6,6.8,5.86,-18.6260002643041
16,15.5,5.6,6.8,5.88,-18.3801381824924
16,15.5,5.6,6.8,5.9,-15.9663938395472
16,15.5,5.6,6.8,5.92,-13.4862633576717
16,15.5,5.6,6.8,5.94,-11.4666230611398
16,15.5,5.6,6.8,5.96,-9.86657426843806
16,15.5,5.6,6.8,5.98,-8.58731817599006
16,15.5,5.6,6.8,6,-7.54961882018737
16,15.5,5.6,6.8,6.02,-6.69629195065545
16,15.5,5.6,6.8,6.04,-5.98625196004469
16,15.5,5.6,6.8,6.06,-5.38948252684537
16,15.5,5.6,6.8,6.08,-4.88360266409413
16,15.5,5.6,6.8,6.1,-4.45159690545278
16,15.5,5.6,6.8,6.12,-4.08030309361772
16,15.5,5.6,6.8,6.14,-3.75938553936939
16,15.5,5.6,6.8,6.16,-3.48062246130383
16,15.5,5.6,6.8,6.18,-3.23740073332999
16,15.5,5.6,6.8,6.2,-3.02435024410897
16,15.5,5.6,6.8,6.22,-2.83707427378288
16,15.5,5.6,6.8,6.24,-2.67194727207976
16,15.5,5.6,6.8,6.26,-2.5259608824976
16,15.5,5.6,6.8,6.28,-2.39660513634516
16,15.5,5.6,6.8,6.3,-2.28177571647441
16,15.5,5.6,6.8,6.32,-2.17970083862715
16,15.5,5.6,6.8,6.34,-2.08888309461794
16,15.5,5.6,6.8,6.36,-2.00805284257492
16,15.5,5.6,6.8,6.38,-1.93613060229185
16,15.5,5.6,6.8,6.4,-1.87219653821308
16,15.5,5.6,6.8,6.42,-1.81546556654289
16,15.5,5.6,6.8,6.44,-1.76526695786229
16,15.5,5.6,6.8,6.46,-1.72102755697122
16,15.5,5.6,6.8,6.48,-1.68225793102119
16,15.5,5.6,6.8,6.5,-1.64854090172346
16,15.5,5.6,7.1,5.5,-1.89827736019422
16,15.5,5.6,7.1,5.52,-2.04965195340757
16,15.5,5.6,7.1,5.54,-2.22357716059242
16,15.5,5.6,7.1,5.56,-2.42414191510404
16,15.5,5.6,7.1,5.58,-2.65635168056748
16,15.5,5.6,7.1,5.6,-2.92636553768375
16,15.5,5.6,7.1,5.62,-3.24180261305729
16,15.5,5.6,7.1,5.64,-3.61214093319535
16,15.5,5.6,7.1,5.66,-4.04924139732755
16,15.5,5.6,7.1,5.68,-4.56804491359614
16,15.5,5.6,7.1,5.7,-5.18751621846625
16,15.5,5.6,7.1,5.72,-5.93195021401161
16,15.5,5.6,7.1,5.74,-6.83282066766487
16,15.5,5.6,7.1,5.76,-7.9314099490836
16,15.5,5.6,7.1,5.78,-9.2822934738935
16,15.5,5.6,7.1,5.8,-10.9561141482342
16,15.5,5.6,7.1,5.82,-13.0300878960248
16,15.5,5.6,7.1,5.84,-15.4991788533711
16,15.5,5.6,7.1,5.86,-17.8184284050148
16,15.5,5.6,7.1,5.88,-18.2164020503248
16,15.5,5.6,7.1,5.9,-16.3092370558012
16,15.5,5.6,7.1,5.92,-13.9374380436364
16,15.5,5.6,7.1,5.94,-11.8989900534989
16,15.5,5.6,7.1,5.96,-10.2543959516061
16,15.5,5.6,7.1,5.98,-8.92978594446703
16,15.5,5.6,7.1,6,-7.8514600426997
16,15.5,5.6,7.1,6.02,-6.96294763213779
16,15.5,5.6,7.1,6.04,-6.22269539128152
16,15.5,5.6,7.1,6.06,-5.59999831988014
16,15.5,5.6,7.1,6.08,-5.07182026040659
16,15.5,5.6,7.1,6.1,-4.62058127158952
16,15.5,5.6,7.1,6.12,-4.2326470960878
16,15.5,5.6,7.1,6.14,-3.897290119113
16,15.5,5.6,7.1,6.16,-3.60596299940788
16,15.5,5.6,7.1,6.18,-3.3517812848512
16,15.5,5.6,7.1,6.2,-3.12914785222461
16,15.5,5.6,7.1,6.22,-2.93347534052565
16,15.5,5.6,7.1,6.24,-2.76097757922905
16,15.5,5.6,7.1,6.26,-2.60851050807052
16,15.5,5.6,7.1,6.28,-2.47344923603922
16,15.5,5.6,7.1,6.3,-2.35359192998662
16,15.5,5.6,7.1,6.32,-2.24708392332002
16,15.5,5.6,7.1,6.34,-2.15235726973196
16,15.5,5.6,7.1,6.36,-2.06808223551208
16,15.5,5.6,7.1,6.38,-1.99312811686646
16,15.5,5.6,7.1,6.4,-1.92653140794445
